,restaurantID,name,reviewID,Review Sentiment,rating_y
0,-0oBrlx668ghShZLzOOwpw,Hair by Megan B.,Z5gKthsKJMc8FPSc3gy4wg,positive,5
1,-0xNhQ5cv1q8SbCwBu0h6A,One Illinois Center Dental Associates,j2CoC6Su9mAXkTBTmXUf3Q,negative,1
2,-13rqFgAMkp8c0YRW5gv-Q,Valet Parking Service,0fYmO6SDF6nzymgRhgNv6w,negative,4
3,-1n0DOZ7jz9RozcIO1Bx5g,Downtown Tobacco,BhjQ4vkaoz2TZFv6Rqt4Kw,positive,5
4,-3Bz4dwz3_hytmUYhTfwMg,Warehouse Liquors,2dc9TXPnJU23wqd3ren5CA,negative,5
5,-3Bz4dwz3_hytmUYhTfwMg,Warehouse Liquors,6F9fNBJhJQWimGoyY5IyGg,positive,4
6,-3Bz4dwz3_hytmUYhTfwMg,Warehouse Liquors,f7Xdwtd2mkAumdgE-cbRlw,positive,5
7,-3Bz4dwz3_hytmUYhTfwMg,Warehouse Liquors,GV3cKSqjeJIxMJHKZD-_Kg,negative,2
8,-3Bz4dwz3_hytmUYhTfwMg,Warehouse Liquors,gZ4P6Ju70Xdn2pQ7PgxBjQ,positive,5
9,-3Bz4dwz3_hytmUYhTfwMg,Warehouse Liquors,hTri9L_kB9WFeWMcAfqBtQ,negative,4
10,-3Bz4dwz3_hytmUYhTfwMg,Warehouse Liquors,lHkIOytF3W8GS3qWfBFY1w,positive,5
11,-3Bz4dwz3_hytmUYhTfwMg,Warehouse Liquors,qQ4NpFRQOHKSrTPhsZw64w,positive,5
12,-3Bz4dwz3_hytmUYhTfwMg,Warehouse Liquors,tqLhQ1om7BCTmsIpdVSDgw,positive,5
13,-3Bz4dwz3_hytmUYhTfwMg,Warehouse Liquors,WDoXaV88mIn7xQhmpISSdA,positive,4
14,-5-QOUmCbGgwTZ1qGodCgg,Working on Labor Day,ZyI4sBlVdhvnKyFxh5g-0A,negative,1
15,-6xaK5elUFw6YBwtcLdKqw,Colin Lyons Wedding Photography,0N_fMIiS1Bb3-QRfkNqgLQ,positive,5
16,-6xaK5elUFw6YBwtcLdKqw,Colin Lyons Wedding Photography,6HJM3BaWQdib4BuziEjZXA,positive,5
17,-6xaK5elUFw6YBwtcLdKqw,Colin Lyons Wedding Photography,s_Qa7PHDxh1bIk2jVRmTEA,positive,5
18,-9jxsN4TDpsARuHCiEuolw,DSW Designer Shoe Warehouse,gFRSZVWUTEIQ3SBaH5-AoA,positive,3
