,restaurantID,rating_y,average sentiments
0,-0oBrlx668ghShZLzOOwpw,5.0,positive
1,-0xNhQ5cv1q8SbCwBu0h6A,1.0,negative
2,-13rqFgAMkp8c0YRW5gv-Q,4.0,negative
3,-1n0DOZ7jz9RozcIO1Bx5g,5.0,positive
4,-3Bz4dwz3_hytmUYhTfwMg,4.4,positive
5,-5-QOUmCbGgwTZ1qGodCgg,1.0,negative
6,-6xaK5elUFw6YBwtcLdKqw,5.0,positive
7,-9jxsN4TDpsARuHCiEuolw,3.0,positive
8,-Aev5O4GkAG1zVKc4dRBTg,4.0,negative
9,-BKSuORz6rwIcTSGAV_GwA,3.6666666666666665,positive
10,-CclMIdTyOnA2vWrubC2Iw,2.773109243697479,positive
11,-CehJGwsRwnYZ7e3vvX_Xg,3.2222222222222223,negative
12,-DcI9z3WSJx09mzCuJPf_A,5.0,positive
13,-GpWeQogXbJNFx_xE6arCA,3.4444444444444446,negative
14,-OfTDHHtqCRGZiXZjBgSjg,4.0,positive
15,-OoRBi390Kiv6vDMKDOfNA,2.6666666666666665,negative
16,-R32EndpQtBGZxsfbPItiw,2.5,negative
17,-SSQ1tKlC0xJTDA4hS1wMg,4.0,positive
18,-SoALCgFIICnppHvmhr6Kg,2.333333333333333,negative
19,-T3VU1ArNHupeRuO766U9Q,4.333333333333333,positive
20,-TcRFgNoikGd36DlgokVdA,4.583333333333333,positive
21,-Vc6DgUUXKcVVVTQ4YZmJQ,3.111111111111111,positive
22,-WL5bFWWhbwWCVI4GYBkhQ,4.30188679245283,positive
23,-aIXGAuLnicdsmOutY9ebQ,3.0789473684210527,positive
24,-bfF_-h5p4jRC937npYdvg,3.9166666666666665,positive
25,-eXYVd25zif2AOVfzs4azg,5.0,negative
26,-gRWlMxEYhUJmRHQiG3WBg,4.428571428571429,positive
27,-guHhnAYoW7chTG4Vc5g4Q,4.333333333333333,positive
28,-iC6IMSJaNL8BcWHxvf9Sg,3.7777777777777777,positive
29,-iXqnFg4a_IlGq4gqFXrSw,3.5,negative
30,-jBvJsJZxs-dEDKZsDXIug,5.0,positive
31,-kOOJJZNsTy6upgze1jRfA,3.727272727272727,positive
32,-kwXSPyiUMsP6FCzUEYJmA,1.75,negative
33,-l1vG_Oa1LzUouVUE3JhHQ,2.8571428571428568,positive
34,-n8cYKty5pRIm6ggf59sxw,2.6666666666666665,positive
35,-oFLf8XkaaTy_QYYIgJ6kg,5.0,positive
36,-pXN0db3PcFGxmFIhUAgEQ,5.0,positive
37,-rM3lJQNK0xB3jctDyhfVQ,5.0,negative
38,-ujJAzrSec4d1bl5W1ehBg,4.0,positive
39,-upcPPR1UkCzN8ffCJa_VQ,1.0,negative
40,-x256BGaUq3lUL2_oF2x_g,1.7142857142857142,negative
41,0-j1UL2JhVfPc-flsK3aVA,4.666666666666667,negative
42,01yNa41hLfHjKJl2mQ1vxA,3.6666666666666665,negative
43,03Rr6CHAjtJuoG_im3xg8w,3.0,positive
44,05lOAHlV7gmOnu-TVdiQmQ,1.0,negative
45,07bYoHMPJidJffPau1Af1Q,2.6,negative
46,091Y2qP4mAZpHfrdwqQyZQ,5.0,positive
47,09f1dbS5-6Nw-1eckNyn1Q,5.0,negative
48,0E26D7x4PPE-J1BoT18uEQ,1.0,negative
49,0EDi2DB63YXgmwaPeOsYEw,4.0,positive
50,0Go04SmDIjLgxDP5tM1gNQ,2.952380952380953,negative
51,0IWIwWQKCSugciSuXAX2Xw,2.0,negative
52,0MvTwFDsxRxtJIySaZtGSQ,4.9230769230769225,positive
53,0NxbQw_0CDMoivD7UcrMQg,3.6060606060606064,positive
54,0OBKdSLPrwKfLvU9y_4UyQ,5.0,positive
55,0Rra5bzEUm4IxfqG4sonLg,3.6,negative
56,0S9Jwud_Z-ViNoiR4me6iQ,2.95,negative
57,0SSiwwihNfYeM1-spqgIBQ,3.9690721649484537,positive
58,0ST47AokxIzBKKffPvsuIw,4.037037037037037,positive
59,0T0duD3SSxYq5URTiYD6ow,2.333333333333333,negative
60,0Z1sv9jRKD57-zNYYgTeJg,4.96,positive
61,0aaNoHueSD9mmSWOYIW1qg,4.0,positive
62,0c0sRK0EJy-0cpKm8T3rbg,4.741935483870968,positive
63,0hjlH9KmXhyYMfrkBrLeew,4.5,positive
