County_name,State_name,Pop_5_17,Pop_18_24,Pop_25_44,Pop_45_64,Pop_65,state,county,tract,block group
Cook County,Illinois,35,95,140,236,0,17,031,010100,1
Cook County,Illinois,679,218,629,420,231,17,031,010100,2
Cook County,Illinois,162,187,1103,407,53,17,031,010100,3
Cook County,Illinois,153,310,549,522,59,17,031,010201,1
Cook County,Illinois,936,488,1538,936,213,17,031,010201,2
Cook County,Illinois,82,24,489,178,19,17,031,010201,3
Cook County,Illinois,104,131,285,428,304,17,031,010202,1
Cook County,Illinois,113,155,417,376,17,17,031,010202,2
Cook County,Illinois,82,10,207,417,123,17,031,010300,1
Cook County,Illinois,245,118,634,417,547,17,031,010300,2
Cook County,Illinois,19,159,416,465,282,17,031,010300,3
Cook County,Illinois,149,199,762,319,17,17,031,010300,4
Cook County,Illinois,63,171,538,396,134,17,031,010400,1
Cook County,Illinois,25,104,351,325,41,17,031,010400,2
Cook County,Illinois,139,1459,351,246,106,17,031,010400,3
Cook County,Illinois,0,238,419,330,47,17,031,010501,1
Cook County,Illinois,284,141,871,344,64,17,031,010501,2
Cook County,Illinois,0,36,231,474,211,17,031,010501,3
Cook County,Illinois,69,551,421,252,50,17,031,010502,1
Cook County,Illinois,166,773,766,485,135,17,031,010502,2
Cook County,Illinois,58,383,470,237,471,17,031,010503,1
Cook County,Illinois,0,352,118,171,24,17,031,010503,2
Cook County,Illinois,443,308,1150,728,203,17,031,010600,1
Cook County,Illinois,146,49,331,301,128,17,031,010600,2
Cook County,Illinois,198,270,610,492,78,17,031,010600,3
Cook County,Illinois,68,224,498,216,82,17,031,010600,4
Cook County,Illinois,270,77,658,393,153,17,031,010701,1
Cook County,Illinois,308,141,813,605,151,17,031,010701,2
Cook County,Illinois,224,44,867,307,7,17,031,010702,1
Cook County,Illinois,524,106,807,225,50,17,031,010702,2
Cook County,Illinois,226,164,579,277,57,17,031,010702,3
Cook County,Illinois,68,117,257,180,17,17,031,010702,4
Cook County,Illinois,427,151,618,576,262,17,031,020100,1
Cook County,Illinois,504,66,522,558,157,17,031,020100,2
Cook County,Illinois,388,126,242,416,192,17,031,020200,1
Cook County,Illinois,271,29,587,428,249,17,031,020200,2
Cook County,Illinois,234,100,379,548,206,17,031,020200,3
Cook County,Illinois,190,155,374,641,308,17,031,020200,4
Cook County,Illinois,120,30,326,176,756,17,031,020301,1
Cook County,Illinois,260,54,186,280,391,17,031,020301,2
Cook County,Illinois,718,315,521,514,230,17,031,020301,3
Cook County,Illinois,177,169,166,332,237,17,031,020302,1
Cook County,Illinois,210,47,188,196,88,17,031,020302,2
Cook County,Illinois,273,239,788,730,442,17,031,020302,3
Cook County,Illinois,79,44,164,363,102,17,031,020400,1
Cook County,Illinois,326,108,424,478,143,17,031,020400,2
Cook County,Illinois,407,177,696,464,160,17,031,020400,3
Cook County,Illinois,544,219,768,469,233,17,031,020500,1
Cook County,Illinois,94,167,260,139,60,17,031,020500,2
Cook County,Illinois,333,189,364,390,282,17,031,020500,3
Cook County,Illinois,234,35,543,341,66,17,031,020500,4
Cook County,Illinois,569,180,499,606,276,17,031,020601,1
Cook County,Illinois,555,268,869,509,310,17,031,020601,2
Cook County,Illinois,289,13,737,123,88,17,031,020601,3
Cook County,Illinois,109,35,217,248,92,17,031,020602,1
Cook County,Illinois,92,93,244,236,92,17,031,020602,2
Cook County,Illinois,157,177,349,390,49,17,031,020602,3
Cook County,Illinois,238,114,225,250,119,17,031,020602,4
Cook County,Illinois,50,32,183,240,199,17,031,020701,1
Cook County,Illinois,205,27,387,267,116,17,031,020701,2
Cook County,Illinois,311,246,531,619,262,17,031,020702,1
Cook County,Illinois,728,214,812,707,430,17,031,020702,2
Cook County,Illinois,134,133,582,494,285,17,031,020702,3
Cook County,Illinois,275,79,178,167,143,17,031,020702,4
Cook County,Illinois,292,55,486,258,199,17,031,020801,1
Cook County,Illinois,158,61,347,419,51,17,031,020801,2
Cook County,Illinois,39,82,270,371,72,17,031,020801,3
Cook County,Illinois,135,112,397,501,176,17,031,020801,4
Cook County,Illinois,63,39,243,280,165,17,031,020802,1
Cook County,Illinois,335,126,858,458,380,17,031,020802,2
Cook County,Illinois,393,290,908,445,60,17,031,020802,3
Cook County,Illinois,427,177,588,221,162,17,031,020802,4
Cook County,Illinois,386,178,945,442,84,17,031,020901,1
Cook County,Illinois,261,76,300,281,89,17,031,020901,2
Cook County,Illinois,394,191,747,451,110,17,031,020901,3
Cook County,Illinois,206,410,637,732,504,17,031,020902,1
Cook County,Illinois,332,116,673,448,117,17,031,020902,2
Cook County,Illinois,26,115,494,151,55,17,031,030101,1
Cook County,Illinois,12,81,176,109,48,17,031,030101,2
Cook County,Illinois,129,91,370,375,199,17,031,030101,3
Cook County,Illinois,54,21,391,525,334,17,031,030101,4
Cook County,Illinois,11,21,378,485,237,17,031,030102,1
Cook County,Illinois,43,142,412,395,54,17,031,030102,2
Cook County,Illinois,61,18,364,317,101,17,031,030102,3
Cook County,Illinois,40,276,399,135,0,17,031,030103,1
Cook County,Illinois,116,237,405,426,97,17,031,030103,2
Cook County,Illinois,100,1609,475,431,179,17,031,030104,1
Cook County,Illinois,8,219,375,71,30,17,031,030104,2
Cook County,Illinois,30,112,751,346,103,17,031,030200,1
Cook County,Illinois,117,67,715,280,103,17,031,030200,2
Cook County,Illinois,213,37,343,341,97,17,031,030200,3
Cook County,Illinois,234,433,602,353,91,17,031,030200,4
Cook County,Illinois,208,137,390,382,127,17,031,030300,1
Cook County,Illinois,190,93,652,273,260,17,031,030300,2
Cook County,Illinois,176,146,552,285,193,17,031,030400,1
Cook County,Illinois,87,77,429,325,107,17,031,030400,2
Cook County,Illinois,226,35,460,374,127,17,031,030500,1
Cook County,Illinois,122,119,606,793,84,17,031,030500,2
Cook County,Illinois,282,4,807,284,114,17,031,030500,3
Cook County,Illinois,217,161,854,316,117,17,031,030500,4
Cook County,Illinois,0,324,193,177,40,17,031,030601,1
Cook County,Illinois,60,147,285,69,171,17,031,030601,2
Cook County,Illinois,74,43,492,793,238,17,031,030601,3
Cook County,Illinois,198,260,446,127,67,17,031,030603,1
Cook County,Illinois,107,65,457,337,59,17,031,030603,2
Cook County,Illinois,25,148,578,223,94,17,031,030604,1
Cook County,Illinois,70,4,362,319,249,17,031,030604,2
Cook County,Illinois,51,98,158,377,75,17,031,030604,3
Cook County,Illinois,154,175,862,505,166,17,031,030701,1
Cook County,Illinois,35,36,441,176,152,17,031,030702,1
Cook County,Illinois,34,6,94,312,229,17,031,030702,2
Cook County,Illinois,30,15,481,179,75,17,031,030703,1
Cook County,Illinois,0,0,101,113,243,17,031,030703,2
Cook County,Illinois,0,94,714,234,182,17,031,030703,3
Cook County,Illinois,0,57,979,541,555,17,031,030706,1
Cook County,Illinois,49,19,426,312,179,17,031,030706,2
Cook County,Illinois,282,178,521,133,74,17,031,030800,1
Cook County,Illinois,125,47,404,310,244,17,031,030800,2
Cook County,Illinois,0,50,301,279,58,17,031,030800,3
Cook County,Illinois,0,28,538,333,83,17,031,030800,4
Cook County,Illinois,10,18,130,85,66,17,031,030900,1
Cook County,Illinois,0,29,453,286,180,17,031,030900,2
Cook County,Illinois,70,18,513,182,56,17,031,030900,3
Cook County,Illinois,79,100,395,231,66,17,031,030900,4
Cook County,Illinois,110,15,527,271,113,17,031,031000,1
Cook County,Illinois,32,115,352,325,116,17,031,031000,2
Cook County,Illinois,72,52,548,362,109,17,031,031000,3
Cook County,Illinois,0,62,1139,372,102,17,031,031100,1
Cook County,Illinois,0,94,203,385,71,17,031,031100,2
Cook County,Illinois,150,46,1062,259,99,17,031,031100,3
Cook County,Illinois,157,165,596,273,103,17,031,031200,1
Cook County,Illinois,287,237,380,407,264,17,031,031200,2
Cook County,Illinois,22,126,195,561,32,17,031,031200,3
Cook County,Illinois,100,72,528,464,169,17,031,031200,4
Cook County,Illinois,64,168,274,344,374,17,031,031300,1
Cook County,Illinois,89,102,739,345,85,17,031,031300,2
Cook County,Illinois,47,51,94,326,82,17,031,031300,3
Cook County,Illinois,160,44,804,651,669,17,031,031300,4
Cook County,Illinois,121,102,620,425,278,17,031,031300,5
Cook County,Illinois,18,43,682,322,365,17,031,031400,1
Cook County,Illinois,0,54,318,223,131,17,031,031400,2
Cook County,Illinois,105,66,368,232,94,17,031,031400,3
