Restaurant Name,ADDRESS_x,Failed inspection on,Alive for x years
A & R FOOD INC,1657 W 35TH ST ,2010-04-08,7.131506849315069
"AL KING MARKET, INC",5214 S DAMEN AVE ,2013-12-17,0.40821917808219177
ALWARSI INC,5458 S WELLS ST ,2010-02-02,4.03013698630137
AM/PM,1221-1223 S Wabash AVE ,2010-09-08,2.7424657534246575
AU BON PAIN,200 W ADAMS ST ,2014-07-25,6.810958904109589
AZTECA CHICAGO GRILL,1546 W 35TH ST ,2011-12-06,1.9095890410958904
BABA PITA,1032 W LAKE ST ,2014-08-06,8.232876712328768
BIG MAMA'S INC.,5257 S ASHLAND AVE ,2010-02-09,3.8575342465753426
"BIG RAYS GRILL, INC.",4653 S HALSTED ST ,2012-08-30,8.536986301369863
BUDDY GUY'S LEGENDS,700 S WABASH AVE ,2010-04-06,2.4383561643835616
BURRITO BUGGY,206 W VAN BUREN ST ,2010-08-06,7.986301369863014
CARNICERIA Y FRUTERIA RIO BALSAS GROCERIES,1900 W 17TH ST ,2010-06-22,4.347945205479452
CATCHERS INN,901 W 35TH ST ,2010-02-04,3.8986301369863012
CERMAK LIVE POULTRY,1823 W CERMAK RD ,2013-10-11,2.0575342465753423
CHICAGO STEAKS,818-828 W EXCHANGE AVE ,2012-02-17,2.0602739726027397
DAMEN FOOD MARKET,5214 S DAMEN AVE ,2013-05-29,0.4712328767123288
"DAMEN FOOD MART, INC",5214 S DAMEN AVE ,2012-02-29,1.2410958904109588
DAVE'S ICE CREAM,1451 W 18TH ST ,2010-05-28,7.843835616438356
DELTA FOOD,1158 W 51ST ST ,2013-02-19,3.1013698630136988
DOUGLAS PARK GROCERIES,2744 W 18TH ST ,2015-09-01,1.3397260273972602
DUNKIN DONUTS,166 W WASHINGTON ST ,2013-11-18,5.252054794520548
DUNKIN DONUTS,203 N LA SALLE ST ,2010-08-02,3.6794520547945204
DUNKIN DONUTS,220 W WASHINGTON ST ,2013-06-26,4.854794520547945
DUNKIN DONUTS,3510 S ASHLAND AVE ,2011-04-08,7.1945205479452055
DUNKIN DONUTS,6 N WABASH AVE ,2013-02-26,2.5671232876712327
E & J FOOD & LIQUORS,5439 S DAMEN AVE ,2012-08-24,4.586301369863014
E & J FOOD & LIQUORS,5441 S DAMEN AVE ,2011-06-23,3.4136986301369863
ECONOGAS,4244 S WENTWORTH AVE ,2011-05-06,3.5315068493150683
EL CONDES..A.,1247 S WESTERN AVE ,2014-08-07,1.3643835616438356
EL HUARACHE CHILANGO,1700 W CERMAK RD ,2010-05-04,2.3013698630136985
EL MEZCAL,1454 W 18TH ST ,2011-09-14,5.506849315068493
EL PARAISO BAKERY,1156 W 18TH ST ,2010-06-25,2.197260273972603
EL POLLO REGIO,2007-2009 S DAMEN AVE ,2016-06-10,0.936986301369863
"EL TEQUIS RESTAURANT AND BAR, LTD.",1700 W CERMAK RD ,2010-05-04,4.213698630136986
GARFIELD FOOD,1614 W GARFIELD BLVD ,2011-02-07,3.0684931506849313
GATEWAY NEWS STAND,312 S STATE ST ,2010-11-08,2.627397260273973
GATEWAY NEWSTAND,1 N LA SALLE ST ,2010-12-02,5.567123287671233
GATEWAY NEWSTAND,190 S LA SALLE ST ,2014-05-13,9.013698630136986
"GORDITAS TONALA, INC.",4248 S ASHLAND AVE ,2010-02-22,3.084931506849315
GRAND FOOD MART,400 E RANDOLPH ST ,2010-11-19,2.1506849315068495
HALSTED FOODS,3418 S HALSTED ST ,2011-04-15,4.241095890410959
HALSTED STREET DELI,128 S FRANKLIN ST ,2014-07-17,3.8383561643835615
HALSTED STREET DELI,222 N LA SALLE ST ,2014-03-13,3.4904109589041097
